Picture	Capitol name	Location	Years of current capitol construction	Notes
30°16′29″N 97°44′26″W	1881–1888
1993 (underground extension)	National Historic Landmark
Largest state capitol
Utah State Capitol in October 2010.JPG	Utah State Capitol	Salt Lake City
40°46′38″N 111°53′17″W	1912–1916
2004-2008 (major restoration and renovation)	National Register of Historic Places
Vermont State House front.jpg	Vermont State House	Montpelier
44°15′44″N 72°34′51″W	1834–1836	National Historic Landmark
Virginia State Capitol.jpg	Virginia State Capitol	Richmond
37°32′19.53″N 77°26′0.94″W	1785–1790
1904–1906 (wings)	National Historic Landmark
Third oldest active state capitol
WACapitolLegislativeBldg.jpg	Washington State Capitol	Olympia
47°02′07″N 122°54′23″W	1919–1928 (Legislative building)	National Register of Historic Places
West Virginia State Capitol Building.jpg	West Virginia State Capitol	Charleston
38°20′11″N 81°36′44″W	1924–1932	National Register of Historic Places
Wis-capitol.jpg	Wisconsin State Capitol	Madison
43°4′28″N 89°23′5″W	1906–1917
1988-2002 (major renovation and restoration)	National Historic Landmark
DSCN5263 cheyennewyomingcapitolfront e.jpg	Wyoming State Capitol	Cheyenne
41°8′25″N 104°49′11″W	1886–1890
1915–1917 (House and Senate chambers)	National Historic Landmark
Second highest state capitol
